"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1973","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","728041","","","","0"
"1974","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","697912","","","","0"
"1975","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","680501","","","","0"
"1976","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","673861","","","","0"
"1977","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","664709","","","","0"
"1978","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","659218","","","","0"
"1979","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","648399","","","","0"
"1980","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","637642","","","","0"
"1981","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","623034","","","","0"
"1982","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","616526","","","","0"
"1983","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","612801","","","","0"
"1984","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","615028","","","","0"
"1985","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","616616","","","","0"
"1986","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","623782","","","","0"
"1987","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","637401","","","","0"
"1988","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","656410","","","","0"
"1989","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","676758","","","","0"
"1990","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","693500","","","","0"
"1991","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","702325","","","","0"
"1992","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","716981","","","","0"
"1993","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","725292","","","","0"
"1994","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","735986","","","","0"
"1995","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","747644","","","","0"
"1996","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","759908","","","","0"
"1997","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","772808","","","","0"
"1998","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","786363","","","","0"
"1999","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","791436","","","","0"
"2000","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","794472","","","","0"
"2001","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","797798","","","","0"
"2002","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","794154","","","","0"
"2003","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","781985","","","","0"
"2004","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","766729","","","","0"
"2005","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","749785","","","","0"
"2006","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","731798","","","","0"
"2007","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","722860","","","","0"
"2008","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","717163","","","","0"
"2009","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","716417","","","","0"
"2010","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","714810","","","","0"
"2011","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","718811","","","","0"
"2012","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","728203","","","","0"
"2013","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","739997","","","","0"
"2014","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","746093","","","","0"
"2015","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","752382","","","","0"
"2016","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","759846","","","","0"
"2017","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","761959","","","","0"
"2018","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","762106","","","","0"
"2019","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","762899","","","","0"
"2020","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","762654","","","","0"
"1971","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","794371","","","","0"
"1972","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","805445","","","","0"
"1973","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","816639","","","","0"
"1974","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","823902","","","","0"
"1975","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","822343","","","","0"
"1976","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","803248","","","","0"
"1977","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","782318","","","","0"
"1978","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","750355","","","","0"
"1979","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","716953","","","","0"
"1980","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","693844","","","","0"
"1981","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","681719","","","","0"
"1982","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","676569","","","","0"
"1983","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","672086","","","","0"
"1984","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","664253","","","","0"
"1985","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","655437","","","","0"
"1986","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","642213","","","","0"
"1987","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","642032","","","","0"
"1988","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","645742","","","","0"
"1989","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","653701","","","","0"
"1990","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","658082","","","","0"
"1991","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","670067","","","","0"
"1992","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","682921","","","","0"
"1993","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","696943","","","","0"
"1994","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","711828","","","","0"
"1995","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","726389","","","","0"
"1996","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","740403","","","","0"
"1997","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","755090","","","","0"
"1998","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","765784","","","","0"
"1999","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","775997","","","","0"
"2000","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","789378","","","","0"
"2001","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","803872","","","","0"
"2002","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","823182","","","","0"
"2003","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","836776","","","","0"
"2004","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","841389","","","","0"
"2005","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","839154","","","","0"
"2006","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","830734","","","","0"
"2007","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","822263","","","","0"
"2008","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","812633","","","","0"
"2009","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","800471","","","","0"
"2010","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","786095","","","","0"
"2011","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","769353","","","","0"
"2012","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","759024","","","","0"
"2013","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","753221","","","","0"
"2014","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","754382","","","","0"
"2015","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","754204","","","","0"
"2016","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","761464","","","","0"
"2017","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","768470","","","","0"
"2018","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","779859","","","","0"
"2019","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","786966","","","","0"
"2020","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","792947","","","","0"
"1971","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","732381","","","","0"
"1972","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","753965","","","","0"
"1973","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","773488","","","","0"
"1974","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","792042","","","","0"
"1975","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","805690","","","","0"
"1976","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","824668","","","","0"
"1977","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","833385","","","","0"
"1978","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","843501","","","","0"
"1979","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","850304","","","","0"
"1980","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","851170","","","","0"
"1981","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","833235","","","","0"
"1982","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","810882","","","","0"
"1983","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","779706","","","","0"
"1984","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","748510","","","","0"
"1985","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","725661","","","","0"
"1986","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","719990","","","","0"
"1987","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","715453","","","","0"
"1988","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","716590","","","","0"
"1989","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","719460","","","","0"
"1990","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","717492","","","","0"
"1991","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","708820","","","","0"
"1992","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","703447","","","","0"
"1993","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","699185","","","","0"
"1994","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","704664","","","","0"
"1995","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","711034","","","","0"
"1996","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","720550","","","","0"
"1997","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","730614","","","","0"
"1998","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","747249","","","","0"
"1999","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","764197","","","","0"
"2000","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","785179","","","","0"
"2001","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","805189","","","","0"
"2002","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","820745","","","","0"
"2003","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","829400","","","","0"
"2004","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","841723","","","","0"
"2005","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","857961","","","","0"
"2006","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","873083","","","","0"
"2007","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","878271","","","","0"
"2008","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","886676","","","","0"
"2009","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","890901","","","","0"
"2010","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","894985","","","","0"
"2011","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","896013","","","","0"
"2012","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","882312","","","","0"
"2013","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","867139","","","","0"
"2014","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","853570","","","","0"
"2015","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","841992","","","","0"
"2016","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","839916","","","","0"
"2017","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","847939","","","","0"
"2018","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","857821","","","","0"
"2019","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","860136","","","","0"
"2020","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","852405","","","","0"
"1971","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","707309","","","","0"
"1972","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","706207","","","","0"
"1973","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","717063","","","","0"
"1974","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","740174","","","","0"
"1975","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","766063","","","","0"
"1976","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","784392","","","","0"
"1977","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","796307","","","","0"
"1978","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","805791","","","","0"
"1979","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","815250","","","","0"
"1980","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","828413","","","","0"
"1981","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","843619","","","","0"
"1982","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","858295","","","","0"
"1983","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","877976","","","","0"
"1984","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","895900","","","","0"
"1985","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","904267","","","","0"
"1986","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","895870","","","","0"
"1987","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","876686","","","","0"
"1988","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","847787","","","","0"
"1989","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","833042","","","","0"
"1990","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","814101","","","","0"
"1991","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","798723","","","","0"
"1992","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","792321","","","","0"
"1993","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","778556","","","","0"
"1994","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","767561","","","","0"
"1995","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","757797","","","","0"
"1996","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","744615","","","","0"
"1997","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","742452","","","","0"
"1998","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","741437","","","","0"
"1999","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","749792","","","","0"
"2000","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","763384","","","","0"
"2001","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","784373","","","","0"
"2002","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","802149","","","","0"
"2003","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","823926","","","","0"
"2004","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","842760","","","","0"
"2005","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","859989","","","","0"
"2006","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","873578","","","","0"
"2007","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","880047","","","","0"
