"Job vacancies and average offered hourly wage by occupation (broad occupational category), quarterly, unadjusted for seasonality 1 2",,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0356-01 (formerly CANSIM 285-0003),,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory, Economic region",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,24.15E,27.80B,22.35B,23.05A,23.90A,24.55A,25.65A,26.50B,25.10A,24.95A,23.65A,26.35A,23.95A,23.40A,24.45A,25.40A,24.95A,25.65A,25.85A,27.75A,26.50A,..,..,24.85A
"Occupations in art, culture, recreation and sport  [5]",,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,F,"1,025C","1,735D","1,720D","1,850C","1,935D","2,065D","2,890D","4,125D","2,070C","2,090C","2,150C","2,395C","2,330D","1,855C","2,410D","2,095C","2,650C","1,980C","1,960C",..,..,"1,150C"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,17.55E,F,20.60A,22.60A,19.50A,19.30B,21.80A,19.45B,17.70B,19.65B,22.15A,21.80A,23.95B,22.45B,20.90B,21.10A,23.90B,21.95A,21.50A,23.10A,22.40A,..,..,28.30A
Sales and service occupations  [6],,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,"26,800B","29,305B","29,910B","25,820A","29,120B","28,635B","30,705B","27,415B","32,585B","33,160B","33,935A","30,475B","33,195B","33,365B","39,260B","31,790B","33,225A","34,080A","33,830B","26,830B",..,..,"31,875B"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,13.45E,13.80A,14.05A,13.55A,14.20A,13.85A,14.10A,14.05A,14.65A,14.25A,14.45A,14.85A,16.40A,16.55A,16.30A,16.25A,16.70A,16.35A,16.50A,16.70A,17.90A,..,..,16.80A
"Trades, transport and equipment operators and related occupations  [7]",,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,"10,735C","7,685B","9,925C","7,740B","11,420E","12,845D","14,555D","12,850E","9,485B","10,930B","12,590B","12,195B","11,080B","12,220B","13,435B","10,575B","12,455B","11,945B","10,710B","10,590B",..,..,"9,740B"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,21.25E,20.40A,19.90A,19.20A,19.90A,30.90D,24.50C,24.00C,25.10C,20.65A,21.25A,19.15A,19.95A,20.95A,20.50A,20.80A,21.85A,22.05A,21.65A,22.10A,21.55A,..,..,22.65A
"Natural resources, agriculture and related production occupations  [8]",,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,"2,735E","1,660E","1,125E",900D,"2,210D",815E,"1,460E","1,230D","1,230D","1,220E","1,885E",x,"1,950D",940D,x,"1,035E","1,545D","1,170E",725E,x,..,..,"1,410E"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,13.55E,12.90A,13.25A,14.25A,14.40A,14.15A,13.30A,14.90B,14.85B,15.75A,15.25B,16.80A,x,15.95A,15.60A,x,19.10C,19.65C,18.95C,19.35A,x,..,..,20.25B
Occupations in manufacturing and utilities  [9],,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,"3,520C","3,470C","4,080D","2,570D","3,845C","4,270C","3,180C","4,925C","3,830C","4,790B","4,085C","4,235C","4,315C","4,400C","5,900C","4,690C","5,110C","5,545C","5,575D","4,955C",..,..,"4,945C"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,16.45E,16.60A,14.95A,16.25A,15.85A,15.10A,15.40A,15.90A,15.20A,15.95A,16.10A,16.55A,17.00A,17.25A,17.35A,17.55A,19.20A,17.80A,18.55A,17.85A,17.60A,..,..,17.85A
Unclassified occupations [7],,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,..,"5,350E","2,980C","3,000E","2,060C","2,840E",F,F,"4,685D",F,F,F,x,F,F,x,F,F,F,F,x,..,..,50E
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,..,19.05E,20.20B,17.70C,24.00B,21.25E,F,F,21.90B,F,F,F,x,F,F,x,F,16.15D,F,F,x,..,..,24.95D
,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,
..,not available for a specific reference period,,,,,,,,,,,,,,,,,,,,,,,,
X,suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,,,,,,,,,,,,,,,,,,,
E,use with caution,,,,,,,,,,,,,,,,,,,,,,,,
F,too unreliable to be published,,,,,,,,,,,,,,,,,,,,,,,,
A,data quality: excellent,,,,,,,,,,,,,,,,,,,,,,,,
B,data quality: very good,,,,,,,,,,,,,,,,,,,,,,,,
C,data quality: good,,,,,,,,,,,,,,,,,,,,,,,,
D,data quality: acceptable,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish.",,,,,,,,,,,,,,,,,,,,,,,,
2,Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic.,,,,,,,,,,,,,,,,,,,,,,,,
3,"An economic region (ER) is a grouping of complete census divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. Canada has 76 ERs that are classified in accordance with the Standard Geographical Classification (SGC) 2016, which is based on 2016 Census boundaries. The Job Vacancy and Wage Survey (JVWS) publishes estimates for 69 ERs, seven of which are combined. These seven combined ERs are the same as those published by the Labour Force Survey. Maps illustrating the ERs, as well as a table showing the census metropolitan areas (CMAs) and census agglomerations (CAs) within each ER, are available by selecting the “JVWS Geographical Maps” link at the bottom of the JVWS survey page (5217).",,,,,,,,,,,,,,,,,,,,,,,,
4,Occupation estimates are based on the National Occupational Classification (NOC) 2016.,,,,,,,,,,,,,,,,,,,,,,,,
5,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded.",,,,,,,,,,,,,,,,,,,,,,,,
6,"The average hourly wage offered by employers for vacant positions. It excludes overtime, tips, commissions and bonuses. Salaries are converted to hourly wages based on information regarding the frequency of pay and the expected average number of hours worked per week. The offered wage may be different from the actual wage paid once the position is filled. If the salary is different among the job vacancies for the same occupation, the respondent is asked to report the lowest wage or salary. When the compensation advertised for the job vacancy is in the form of a salary range or an hourly pay range, the respondent is asked to report the lowest value of the range. If the work will be paid based on, for example, the number of parts produced, mileage or the number of times a task is performed, the respondent is asked to report the expected minimum salary.",,,,,,,,,,,,,,,,,,,,,,,,
7,Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 14-10-0356-01 Job vacancies and average offered hourly wage by occupation (broad occupational category), quarterly, unadjusted for seasonality",,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410035601,,,,,,,,,,,,,,,,,,,,,,,,,
DOI: https://doi.org/10.25318/1410035601-eng,,,,,,,,,,,,,,,,,,,,,,,,,
